Destination,Type,Season,TravelGroup,Activities,BudgetPerPerson,Duration,HealthCondition,NumPeople,Region
Paris,City,Summer,Couple,"Sightseeing,Culture",11090,Long,Heart Issues,2,Other
Singapore,City,Summer,Family,"Shopping,ThemePark",8661,Short,Asthma,6,Other
Goa,Beach,Summer,Couple,"Beach,Party,Relaxation",23799,Long,None,5,India
Ooty,Hill/Beach,Winter,Couple,"Relaxation,Trekking",17517,Short,None,3,India
Goa,Beach,Summer,Friends,"Beach,Party,Relaxation",6049,Short,Asthma,5,India
Leh,Mountain,Summer,Couple,"Trekking,Adventure",13835,Long,None,4,India
Singapore,City,Summer,Couple,"Shopping,ThemePark",22805,Long,None,3,Other
Kerala,Hill/Beach,Monsoon,Solo,"Houseboat,Relaxation",15890,Long,Asthma,6,India
Leh,Mountain,Summer,Couple,"Trekking,Adventure",12526,Long,Asthma,6,India
Singapore,City,Summer,Couple,"Shopping,ThemePark",10132,Short,Heart Issues,1,Other
Manali,Mountain,Winter,Family,"Trekking,Adventure",22766,Short,None,1,India
Manali,Mountain,Winter,Family,"Trekking,Adventure",19004,Short,Asthma,5,India
Goa,Beach,Summer,Friends,"Beach,Party,Relaxation",21369,Long,Heart Issues,6,India
Singapore,City,Summer,Solo,"Shopping,ThemePark",19948,Short,Asthma,3,Other
Manali,Mountain,Winter,Couple,"Trekking,Adventure",13347,Long,Asthma,6,India
London,City,Winter,Friends,"Culture,Sightseeing",9715,Short,None,1,Other
Goa,Beach,Summer,Friends,"Beach,Party,Relaxation",14331,Short,Heart Issues,5,India
Singapore,City,Summer,Friends,"Shopping,ThemePark",3365,Short,Heart Issues,1,Other
Paris,City,Summer,Solo,"Sightseeing,Culture",18249,Short,None,6,Other
Goa,Beach,Summer,Couple,"Beach,Party,Relaxation",15072,Long,Asthma,2,India
Singapore,City,Summer,Friends,"Shopping,ThemePark",14179,Short,Asthma,4,Other
Kerala,Hill/Beach,Monsoon,Family,"Houseboat,Relaxation",9052,Short,Asthma,3,India
Kerala,Hill/Beach,Monsoon,Family,"Houseboat,Relaxation",6399,Short,None,2,India
London,City,Winter,Couple,"Culture,Sightseeing",18376,Long,Asthma,3,Other
Dubai,City,Winter,Friends,"Shopping,Adventure",14321,Long,Heart Issues,1,Other
Kerala,Hill/Beach,Monsoon,Couple,"Houseboat,Relaxation",5676,Short,Asthma,3,India
Hampi,Historical,Winter,Family,"Sightseeing,Photography",8709,Long,Asthma,1,India
Singapore,City,Summer,Solo,"Shopping,ThemePark",7899,Long,Heart Issues,1,Other
Leh,Mountain,Summer,Solo,"Trekking,Adventure",15614,Short,Asthma,5,India
London,City,Winter,Solo,"Culture,Sightseeing",16178,Short,Asthma,3,Other
Kerala,Hill/Beach,Monsoon,Couple,"Houseboat,Relaxation",5378,Short,Asthma,6,India
London,City,Winter,Family,"Culture,Sightseeing",8014,Short,Asthma,6,Other
Kerala,Hill/Beach,Monsoon,Family,"Houseboat,Relaxation",22492,Short,None,6,India
Singapore,City,Summer,Family,"Shopping,ThemePark",12338,Short,Asthma,5,Other
Goa,Beach,Summer,Couple,"Beach,Party,Relaxation",12862,Long,Asthma,3,India
Leh,Mountain,Summer,Couple,"Trekking,Adventure",19539,Long,Heart Issues,5,India
Goa,Beach,Summer,Solo,"Beach,Party,Relaxation",9314,Short,Heart Issues,3,India
Singapore,City,Summer,Family,"Shopping,ThemePark",17079,Short,Asthma,2,Other
Dubai,City,Winter,Solo,"Shopping,Adventure",12329,Long,Asthma,5,Other
Leh,Mountain,Summer,Friends,"Trekking,Adventure",22682,Short,Asthma,4,India
Singapore,City,Summer,Solo,"Shopping,ThemePark",4434,Long,None,3,Other
Dubai,City,Winter,Friends,"Shopping,Adventure",6323,Short,None,2,Other
Kerala,Hill/Beach,Monsoon,Solo,"Houseboat,Relaxation",21580,Short,Asthma,1,India
Singapore,City,Summer,Solo,"Shopping,ThemePark",16763,Long,None,2,Other
Dubai,City,Winter,Couple,"Shopping,Adventure",17030,Long,Heart Issues,3,Other
Singapore,City,Summer,Friends,"Shopping,ThemePark",19485,Short,Heart Issues,5,Other
Dubai,City,Winter,Family,"Shopping,Adventure",21703,Short,None,1,Other
Hampi,Historical,Winter,Couple,"Sightseeing,Photography",21533,Long,Heart Issues,4,India
Leh,Mountain,Summer,Couple,"Trekking,Adventure",3642,Short,Asthma,4,India
Leh,Mountain,Summer,Couple,"Trekking,Adventure",9777,Short,Heart Issues,4,India
Kerala,Hill/Beach,Monsoon,Couple,"Houseboat,Relaxation",7062,Short,Asthma,2,India
Goa,Beach,Summer,Friends,"Beach,Party,Relaxation",14494,Short,Heart Issues,3,India
Goa,Beach,Summer,Friends,"Beach,Party,Relaxation",5543,Long,Heart Issues,2,India
Goa,Beach,Summer,Family,"Beach,Party,Relaxation",3807,Long,Heart Issues,2,India
London,City,Winter,Family,"Culture,Sightseeing",4516,Long,Asthma,2,Other
London,City,Winter,Family,"Culture,Sightseeing",14966,Long,None,4,Other
Manali,Mountain,Winter,Solo,"Trekking,Adventure",10610,Long,Heart Issues,1,India
Goa,Beach,Summer,Family,"Beach,Party,Relaxation",19507,Short,Heart Issues,6,India
London,City,Winter,Couple,"Culture,Sightseeing",16421,Long,Heart Issues,3,Other
London,City,Winter,Friends,"Culture,Sightseeing",14585,Short,None,1,Other
Paris,City,Summer,Friends,"Sightseeing,Culture",17565,Long,Heart Issues,5,Other
London,City,Winter,Friends,"Culture,Sightseeing",4361,Short,None,5,Other
Leh,Mountain,Summer,Family,"Trekking,Adventure",4446,Long,Heart Issues,4,India
Singapore,City,Summer,Solo,"Shopping,ThemePark",10417,Long,None,4,Other
Goa,Beach,Summer,Friends,"Beach,Party,Relaxation",15728,Long,Heart Issues,4,India
Goa,Beach,Summer,Friends,"Beach,Party,Relaxation",17110,Short,Heart Issues,5,India
Leh,Mountain,Summer,Friends,"Trekking,Adventure",20261,Short,None,1,India
London,City,Winter,Family,"Culture,Sightseeing",6348,Long,None,3,Other
Dubai,City,Winter,Solo,"Shopping,Adventure",16182,Short,Asthma,6,Other
Hampi,Historical,Winter,Friends,"Sightseeing,Photography",3891,Short,Asthma,1,India
Dubai,City,Winter,Family,"Shopping,Adventure",12681,Short,Asthma,4,Other
Hampi,Historical,Winter,Family,"Sightseeing,Photography",9556,Short,None,4,India
Dubai,City,Winter,Friends,"Shopping,Adventure",12501,Short,Heart Issues,6,Other
Leh,Mountain,Summer,Family,"Trekking,Adventure",24161,Long,None,5,India
Ooty,Hill/Beach,Winter,Couple,"Relaxation,Trekking",4506,Long,Heart Issues,3,India
Ooty,Hill/Beach,Winter,Friends,"Relaxation,Trekking",23849,Long,None,1,India
Leh,Mountain,Summer,Family,"Trekking,Adventure",24453,Short,Asthma,2,India
Paris,City,Summer,Family,"Sightseeing,Culture",11330,Short,Asthma,5,Other
Ooty,Hill/Beach,Winter,Couple,"Relaxation,Trekking",10096,Long,Heart Issues,4,India
Kerala,Hill/Beach,Monsoon,Couple,"Houseboat,Relaxation",16954,Long,Heart Issues,3,India
Manali,Mountain,Winter,Friends,"Trekking,Adventure",21241,Short,Asthma,1,India
Kerala,Hill/Beach,Monsoon,Solo,"Houseboat,Relaxation",18411,Short,None,2,India
Dubai,City,Winter,Solo,"Shopping,Adventure",10727,Short,Asthma,1,Other
Paris,City,Summer,Friends,"Sightseeing,Culture",24217,Short,Asthma,6,Other
Manali,Mountain,Winter,Couple,"Trekking,Adventure",13599,Long,Heart Issues,5,India
Leh,Mountain,Summer,Solo,"Trekking,Adventure",19549,Long,Asthma,3,India
Ooty,Hill/Beach,Winter,Family,"Relaxation,Trekking",21463,Long,None,1,India
Paris,City,Summer,Solo,"Sightseeing,Culture",11094,Short,Heart Issues,2,Other
Paris,City,Summer,Solo,"Sightseeing,Culture",14886,Short,Asthma,4,Other
Dubai,City,Winter,Couple,"Shopping,Adventure",8482,Short,Heart Issues,4,Other
Hampi,Historical,Winter,Couple,"Sightseeing,Photography",10194,Long,None,4,India
Kerala,Hill/Beach,Monsoon,Family,"Houseboat,Relaxation",15686,Short,None,2,India
Singapore,City,Summer,Solo,"Shopping,ThemePark",3762,Long,Asthma,6,Other
Leh,Mountain,Summer,Couple,"Trekking,Adventure",23084,Short,None,1,India
Singapore,City,Summer,Family,"Shopping,ThemePark",19374,Long,Asthma,4,Other
Singapore,City,Summer,Friends,"Shopping,ThemePark",9349,Short,Heart Issues,4,Other
Kerala,Hill/Beach,Monsoon,Couple,"Houseboat,Relaxation",19498,Short,Asthma,4,India
Singapore,City,Summer,Solo,"Shopping,ThemePark",5525,Long,Heart Issues,4,Other
Paris,City,Summer,Couple,"Sightseeing,Culture",5767,Long,Heart Issues,4,Other
Hampi,Historical,Winter,Family,"Sightseeing,Photography",15693,Long,Asthma,2,India
Manali,Mountain,Winter,Family,"Trekking,Adventure",16376,Long,None,5,India
Dubai,City,Winter,Solo,"Shopping,Adventure",19324,Long,Asthma,3,Other
Goa,Beach,Summer,Friends,"Beach,Party,Relaxation",21594,Short,Asthma,1,India
Paris,City,Summer,Family,"Sightseeing,Culture",15754,Long,None,1,Other
London,City,Winter,Solo,"Culture,Sightseeing",22687,Long,None,2,Other
Dubai,City,Winter,Couple,"Shopping,Adventure",24723,Short,Asthma,2,Other
Manali,Mountain,Winter,Couple,"Trekking,Adventure",5481,Long,Heart Issues,3,India
Manali,Mountain,Winter,Solo,"Trekking,Adventure",8050,Long,None,6,India
Goa,Beach,Summer,Friends,"Beach,Party,Relaxation",8127,Short,None,3,India
Leh,Mountain,Summer,Solo,"Trekking,Adventure",22772,Long,None,4,India
Ooty,Hill/Beach,Winter,Friends,"Relaxation,Trekking",17182,Long,Asthma,2,India
Ooty,Hill/Beach,Winter,Family,"Relaxation,Trekking",3337,Long,Asthma,1,India
Leh,Mountain,Summer,Couple,"Trekking,Adventure",19607,Short,None,1,India
Kerala,Hill/Beach,Monsoon,Friends,"Houseboat,Relaxation",4429,Short,Asthma,2,India
Hampi,Historical,Winter,Friends,"Sightseeing,Photography",9251,Long,Asthma,4,India
Manali,Mountain,Winter,Friends,"Trekking,Adventure",4516,Long,None,1,India
Ooty,Hill/Beach,Winter,Family,"Relaxation,Trekking",3474,Short,Heart Issues,1,India
Leh,Mountain,Summer,Friends,"Trekking,Adventure",14927,Long,Asthma,1,India
Singapore,City,Summer,Family,"Shopping,ThemePark",15702,Short,Heart Issues,3,Other
Ooty,Hill/Beach,Winter,Couple,"Relaxation,Trekking",20858,Short,Asthma,2,India
Goa,Beach,Summer,Friends,"Beach,Party,Relaxation",6591,Short,None,6,India
Singapore,City,Summer,Family,"Shopping,ThemePark",3893,Short,None,2,Other
Hampi,Historical,Winter,Friends,"Sightseeing,Photography",6769,Long,Heart Issues,4,India
Kerala,Hill/Beach,Monsoon,Family,"Houseboat,Relaxation",4252,Long,Heart Issues,3,India
Singapore,City,Summer,Couple,"Shopping,ThemePark",13460,Long,Asthma,6,Other
Ooty,Hill/Beach,Winter,Friends,"Relaxation,Trekking",16800,Long,Heart Issues,5,India
Kerala,Hill/Beach,Monsoon,Friends,"Houseboat,Relaxation",9342,Short,Asthma,4,India
Kerala,Hill/Beach,Monsoon,Friends,"Houseboat,Relaxation",8247,Long,Asthma,4,India
Manali,Mountain,Winter,Solo,"Trekking,Adventure",21942,Long,Asthma,6,India
Hampi,Historical,Winter,Couple,"Sightseeing,Photography",14907,Short,Heart Issues,6,India
London,City,Winter,Solo,"Culture,Sightseeing",3695,Long,Heart Issues,4,Other
London,City,Winter,Solo,"Culture,Sightseeing",3015,Long,Heart Issues,2,Other
Leh,Mountain,Summer,Solo,"Trekking,Adventure",3852,Short,Heart Issues,5,India
Goa,Beach,Summer,Family,"Beach,Party,Relaxation",14336,Long,Heart Issues,2,India
Manali,Mountain,Winter,Couple,"Trekking,Adventure",19063,Short,Heart Issues,1,India
Manali,Mountain,Winter,Family,"Trekking,Adventure",16047,Short,Heart Issues,4,India
Goa,Beach,Summer,Couple,"Beach,Party,Relaxation",18456,Short,Asthma,6,India
Manali,Mountain,Winter,Couple,"Trekking,Adventure",19464,Short,Heart Issues,1,India
Kerala,Hill/Beach,Monsoon,Couple,"Houseboat,Relaxation",9431,Long,Heart Issues,5,India
Hampi,Historical,Winter,Family,"Sightseeing,Photography",14339,Short,Heart Issues,3,India
Leh,Mountain,Summer,Family,"Trekking,Adventure",19520,Long,Asthma,3,India
Goa,Beach,Summer,Solo,"Beach,Party,Relaxation",19000,Short,Asthma,4,India
Dubai,City,Winter,Couple,"Shopping,Adventure",6108,Short,None,4,Other
Singapore,City,Summer,Couple,"Shopping,ThemePark",24124,Short,Heart Issues,6,Other
Ooty,Hill/Beach,Winter,Solo,"Relaxation,Trekking",15968,Long,Heart Issues,5,India
Goa,Beach,Summer,Friends,"Beach,Party,Relaxation",5443,Long,Asthma,4,India
Leh,Mountain,Summer,Couple,"Trekking,Adventure",13172,Long,None,6,India
Goa,Beach,Summer,Family,"Beach,Party,Relaxation",12210,Long,Heart Issues,5,India
Hampi,Historical,Winter,Solo,"Sightseeing,Photography",17389,Long,Asthma,6,India
Paris,City,Summer,Family,"Sightseeing,Culture",4625,Long,Asthma,2,Other
Hampi,Historical,Winter,Solo,"Sightseeing,Photography",24761,Long,None,3,India
Leh,Mountain,Summer,Couple,"Trekking,Adventure",12857,Short,None,6,India
Ooty,Hill/Beach,Winter,Solo,"Relaxation,Trekking",3101,Long,Asthma,5,India
Ooty,Hill/Beach,Winter,Couple,"Relaxation,Trekking",8363,Short,None,1,India
Ooty,Hill/Beach,Winter,Family,"Relaxation,Trekking",18314,Long,Asthma,2,India
Manali,Mountain,Winter,Solo,"Trekking,Adventure",18353,Long,None,4,India
Paris,City,Summer,Friends,"Sightseeing,Culture",19205,Long,Heart Issues,3,Other
Ooty,Hill/Beach,Winter,Solo,"Relaxation,Trekking",5982,Long,Asthma,3,India
Leh,Mountain,Summer,Solo,"Trekking,Adventure",19037,Long,Asthma,5,India
Dubai,City,Winter,Couple,"Shopping,Adventure",13513,Long,Asthma,6,Other
Kerala,Hill/Beach,Monsoon,Solo,"Houseboat,Relaxation",6564,Long,Heart Issues,4,India
Dubai,City,Winter,Couple,"Shopping,Adventure",20738,Long,Heart Issues,5,Other
Goa,Beach,Summer,Family,"Beach,Party,Relaxation",20819,Long,Heart Issues,5,India
Manali,Mountain,Winter,Solo,"Trekking,Adventure",21037,Long,Heart Issues,4,India
Ooty,Hill/Beach,Winter,Solo,"Relaxation,Trekking",3691,Short,Asthma,1,India
Singapore,City,Summer,Couple,"Shopping,ThemePark",21057,Short,Heart Issues,3,Other
Singapore,City,Summer,Friends,"Shopping,ThemePark",7270,Long,Heart Issues,2,Other
Kerala,Hill/Beach,Monsoon,Couple,"Houseboat,Relaxation",17948,Long,Heart Issues,4,India
Hampi,Historical,Winter,Solo,"Sightseeing,Photography",9240,Long,None,4,India
Leh,Mountain,Summer,Family,"Trekking,Adventure",12171,Short,Heart Issues,4,India
Kerala,Hill/Beach,Monsoon,Solo,"Houseboat,Relaxation",8453,Long,Asthma,6,India
Dubai,City,Winter,Solo,"Shopping,Adventure",5479,Short,None,4,Other
Paris,City,Summer,Couple,"Sightseeing,Culture",8150,Short,None,6,Other
Ooty,Hill/Beach,Winter,Couple,"Relaxation,Trekking",15183,Long,Asthma,3,India
Paris,City,Summer,Couple,"Sightseeing,Culture",23092,Short,None,2,Other
Leh,Mountain,Summer,Family,"Trekking,Adventure",4336,Long,Asthma,3,India
London,City,Winter,Family,"Culture,Sightseeing",8254,Long,Heart Issues,2,Other
Ooty,Hill/Beach,Winter,Family,"Relaxation,Trekking",12188,Short,Heart Issues,5,India
Manali,Mountain,Winter,Couple,"Trekking,Adventure",20406,Short,Heart Issues,2,India
Hampi,Historical,Winter,Solo,"Sightseeing,Photography",13061,Long,Heart Issues,4,India
Paris,City,Summer,Couple,"Sightseeing,Culture",9909,Long,None,1,Other
Kerala,Hill/Beach,Monsoon,Family,"Houseboat,Relaxation",18626,Short,Heart Issues,5,India
London,City,Winter,Solo,"Culture,Sightseeing",22334,Long,Heart Issues,3,Other
Singapore,City,Summer,Family,"Shopping,ThemePark",22879,Long,None,5,Other
Hampi,Historical,Winter,Couple,"Sightseeing,Photography",11798,Short,Heart Issues,1,India
Ooty,Hill/Beach,Winter,Friends,"Relaxation,Trekking",23544,Long,Asthma,1,India
London,City,Winter,Couple,"Culture,Sightseeing",4474,Short,Heart Issues,6,Other
Goa,Beach,Summer,Family,"Beach,Party,Relaxation",13925,Long,Heart Issues,5,India
Goa,Beach,Summer,Couple,"Beach,Party,Relaxation",11492,Long,Asthma,1,India
Leh,Mountain,Summer,Family,"Trekking,Adventure",21898,Short,Heart Issues,6,India
Paris,City,Summer,Couple,"Sightseeing,Culture",18673,Short,None,5,Other
Hampi,Historical,Winter,Couple,"Sightseeing,Photography",19840,Short,Heart Issues,1,India
Leh,Mountain,Summer,Friends,"Trekking,Adventure",4976,Long,None,5,India
London,City,Winter,Friends,"Culture,Sightseeing",20939,Long,Asthma,6,Other
Leh,Mountain,Summer,Solo,"Trekking,Adventure",10031,Long,Heart Issues,2,India
Dubai,City,Winter,Friends,"Shopping,Adventure",7949,Long,Asthma,3,Other
Hampi,Historical,Winter,Couple,"Sightseeing,Photography",15574,Long,None,6,India
Manali,Mountain,Winter,Friends,"Trekking,Adventure",12161,Long,Heart Issues,1,India
Ooty,Hill/Beach,Winter,Family,"Relaxation,Trekking",19990,Long,Asthma,4,India
Singapore,City,Summer,Friends,"Shopping,ThemePark",14368,Short,Heart Issues,5,Other
Dubai,City,Winter,Family,"Shopping,Adventure",5819,Long,None,6,Other
Leh,Mountain,Summer,Friends,"Trekking,Adventure",14567,Long,Asthma,5,India
Dubai,City,Winter,Family,"Shopping,Adventure",4702,Short,None,3,Other
Leh,Mountain,Summer,Solo,"Trekking,Adventure",24210,Short,None,2,India
London,City,Winter,Family,"Culture,Sightseeing",9776,Long,None,2,Other
Paris,City,Summer,Friends,"Sightseeing,Culture",20853,Long,None,4,Other
Manali,Mountain,Winter,Solo,"Trekking,Adventure",24830,Short,Heart Issues,6,India
Hampi,Historical,Winter,Couple,"Sightseeing,Photography",18020,Long,Asthma,4,India
London,City,Winter,Couple,"Culture,Sightseeing",12130,Long,None,6,Other
Singapore,City,Summer,Friends,"Shopping,ThemePark",5398,Short,Asthma,4,Other
Dubai,City,Winter,Family,"Shopping,Adventure",18239,Short,Asthma,5,Other
Leh,Mountain,Summer,Friends,"Trekking,Adventure",3572,Long,None,2,India
Paris,City,Summer,Family,"Sightseeing,Culture",22544,Short,Heart Issues,5,Other
Paris,City,Summer,Friends,"Sightseeing,Culture",6622,Long,Heart Issues,5,Other
Singapore,City,Summer,Solo,"Shopping,ThemePark",22127,Short,Heart Issues,6,Other
London,City,Winter,Friends,"Culture,Sightseeing",23430,Long,None,4,Other
Manali,Mountain,Winter,Couple,"Trekking,Adventure",14728,Long,Heart Issues,5,India
Kerala,Hill/Beach,Monsoon,Family,"Houseboat,Relaxation",21353,Short,Asthma,1,India
London,City,Winter,Family,"Culture,Sightseeing",16070,Long,None,5,Other
Singapore,City,Summer,Couple,"Shopping,ThemePark",3484,Long,Asthma,2,Other
Dubai,City,Winter,Solo,"Shopping,Adventure",13877,Long,Asthma,6,Other
Paris,City,Summer,Solo,"Sightseeing,Culture",22926,Long,None,5,Other
Goa,Beach,Summer,Family,"Beach,Party,Relaxation",22801,Long,Heart Issues,3,India
Manali,Mountain,Winter,Family,"Trekking,Adventure",12250,Long,Heart Issues,5,India
Hampi,Historical,Winter,Family,"Sightseeing,Photography",18260,Short,Asthma,4,India
Goa,Beach,Summer,Couple,"Beach,Party,Relaxation",13207,Short,None,2,India
Manali,Mountain,Winter,Family,"Trekking,Adventure",24790,Long,Asthma,1,India
London,City,Winter,Family,"Culture,Sightseeing",19605,Short,None,1,Other
Leh,Mountain,Summer,Family,"Trekking,Adventure",8539,Long,Asthma,4,India
Hampi,Historical,Winter,Couple,"Sightseeing,Photography",3031,Long,Asthma,6,India
Ooty,Hill/Beach,Winter,Friends,"Relaxation,Trekking",23823,Short,Asthma,4,India
Kerala,Hill/Beach,Monsoon,Friends,"Houseboat,Relaxation",24387,Short,None,3,India
Dubai,City,Winter,Couple,"Shopping,Adventure",5632,Short,Heart Issues,4,Other
Manali,Mountain,Winter,Couple,"Trekking,Adventure",23642,Long,Heart Issues,1,India
Singapore,City,Summer,Friends,"Shopping,ThemePark",20083,Long,None,3,Other
Hampi,Historical,Winter,Friends,"Sightseeing,Photography",5670,Short,Asthma,1,India
Dubai,City,Winter,Friends,"Shopping,Adventure",17057,Long,None,5,Other
Goa,Beach,Summer,Friends,"Beach,Party,Relaxation",19660,Long,Asthma,3,India
Dubai,City,Winter,Couple,"Shopping,Adventure",9627,Short,Asthma,4,Other
Hampi,Historical,Winter,Friends,"Sightseeing,Photography",21103,Short,Heart Issues,6,India
London,City,Winter,Friends,"Culture,Sightseeing",24078,Short,None,2,Other
Ooty,Hill/Beach,Winter,Family,"Relaxation,Trekking",24521,Short,Asthma,4,India
Dubai,City,Winter,Solo,"Shopping,Adventure",23736,Long,None,3,Other
Singapore,City,Summer,Couple,"Shopping,ThemePark",22929,Short,Asthma,2,Other
Manali,Mountain,Winter,Solo,"Trekking,Adventure",22923,Short,Asthma,4,India
Paris,City,Summer,Friends,"Sightseeing,Culture",5644,Short,None,3,Other
London,City,Winter,Solo,"Culture,Sightseeing",24455,Long,Heart Issues,4,Other
Ooty,Hill/Beach,Winter,Friends,"Relaxation,Trekking",16461,Short,Heart Issues,2,India
Paris,City,Summer,Friends,"Sightseeing,Culture",10154,Long,Heart Issues,4,Other
Hampi,Historical,Winter,Friends,"Sightseeing,Photography",13174,Short,Asthma,6,India
Manali,Mountain,Winter,Family,"Trekking,Adventure",4540,Short,Heart Issues,2,India
Kerala,Hill/Beach,Monsoon,Friends,"Houseboat,Relaxation",5503,Short,Asthma,6,India
Kerala,Hill/Beach,Monsoon,Friends,"Houseboat,Relaxation",21988,Short,None,4,India
Manali,Mountain,Winter,Couple,"Trekking,Adventure",4561,Long,Heart Issues,6,India
Kerala,Hill/Beach,Monsoon,Friends,"Houseboat,Relaxation",15538,Short,None,6,India
Manali,Mountain,Winter,Solo,"Trekking,Adventure",19353,Short,Asthma,1,India
Paris,City,Summer,Family,"Sightseeing,Culture",16357,Short,Asthma,3,Other
London,City,Winter,Couple,"Culture,Sightseeing",5518,Short,Heart Issues,3,Other
Leh,Mountain,Summer,Solo,"Trekking,Adventure",24306,Short,Asthma,6,India
Paris,City,Summer,Solo,"Sightseeing,Culture",9506,Long,None,6,Other
Ooty,Hill/Beach,Winter,Couple,"Relaxation,Trekking",20597,Short,Heart Issues,4,India
Singapore,City,Summer,Friends,"Shopping,ThemePark",19340,Short,None,2,Other
Leh,Mountain,Summer,Couple,"Trekking,Adventure",11100,Short,Asthma,1,India
Ooty,Hill/Beach,Winter,Solo,"Relaxation,Trekking",8940,Long,None,2,India
Dubai,City,Winter,Couple,"Shopping,Adventure",22137,Short,Asthma,1,Other
Dubai,City,Winter,Family,"Shopping,Adventure",12942,Short,None,4,Other
Kerala,Hill/Beach,Monsoon,Friends,"Houseboat,Relaxation",17027,Short,None,2,India
Kerala,Hill/Beach,Monsoon,Solo,"Houseboat,Relaxation",9680,Long,Asthma,1,India
London,City,Winter,Couple,"Culture,Sightseeing",6751,Short,None,1,Other
Leh,Mountain,Summer,Friends,"Trekking,Adventure",20708,Long,Heart Issues,2,India
London,City,Winter,Family,"Culture,Sightseeing",18836,Short,None,1,Other
Hampi,Historical,Winter,Friends,"Sightseeing,Photography",6700,Short,Heart Issues,3,India
Ooty,Hill/Beach,Winter,Friends,"Relaxation,Trekking",7349,Long,Heart Issues,5,India
Dubai,City,Winter,Couple,"Shopping,Adventure",3546,Long,Heart Issues,1,Other
Dubai,City,Winter,Solo,"Shopping,Adventure",19719,Long,None,6,Other
Hampi,Historical,Winter,Couple,"Sightseeing,Photography",15755,Long,Asthma,3,India
Goa,Beach,Summer,Family,"Beach,Party,Relaxation",21255,Short,None,1,India
Singapore,City,Summer,Couple,"Shopping,ThemePark",14246,Long,Heart Issues,6,Other
Singapore,City,Summer,Couple,"Shopping,ThemePark",10962,Long,Asthma,1,Other
Singapore,City,Summer,Family,"Shopping,ThemePark",4065,Short,Asthma,5,Other
Goa,Beach,Summer,Family,"Beach,Party,Relaxation",5932,Long,Asthma,5,India
Dubai,City,Winter,Friends,"Shopping,Adventure",11277,Long,None,1,Other
Goa,Beach,Summer,Solo,"Beach,Party,Relaxation",10532,Short,Heart Issues,1,India
Paris,City,Summer,Couple,"Sightseeing,Culture",11776,Long,None,3,Other
Ooty,Hill/Beach,Winter,Family,"Relaxation,Trekking",19400,Short,Heart Issues,3,India
Singapore,City,Summer,Family,"Shopping,ThemePark",12978,Short,None,3,Other
Leh,Mountain,Summer,Couple,"Trekking,Adventure",17857,Long,Heart Issues,4,India
Goa,Beach,Summer,Solo,"Beach,Party,Relaxation",12137,Long,Heart Issues,4,India
Manali,Mountain,Winter,Friends,"Trekking,Adventure",5219,Short,Asthma,4,India
Goa,Beach,Summer,Family,"Beach,Party,Relaxation",9185,Short,Heart Issues,6,India
Ooty,Hill/Beach,Winter,Couple,"Relaxation,Trekking",21174,Long,Heart Issues,1,India
Kerala,Hill/Beach,Monsoon,Friends,"Houseboat,Relaxation",15097,Short,None,1,India
Singapore,City,Summer,Family,"Shopping,ThemePark",16923,Short,Heart Issues,4,Other
Kerala,Hill/Beach,Monsoon,Couple,"Houseboat,Relaxation",4141,Long,Asthma,2,India
Goa,Beach,Summer,Family,"Beach,Party,Relaxation",17835,Short,Heart Issues,2,India
Goa,Beach,Summer,Family,"Beach,Party,Relaxation",23995,Long,Asthma,5,India
Dubai,City,Winter,Couple,"Shopping,Adventure",11366,Short,Asthma,4,Other
Paris,City,Summer,Couple,"Sightseeing,Culture",15434,Long,None,1,Other
Hampi,Historical,Winter,Couple,"Sightseeing,Photography",23193,Short,Heart Issues,3,India
Goa,Beach,Summer,Friends,"Beach,Party,Relaxation",23347,Long,Heart Issues,3,India
Leh,Mountain,Summer,Solo,"Trekking,Adventure",19711,Long,Asthma,5,India
Goa,Beach,Summer,Couple,"Beach,Party,Relaxation",20809,Short,Heart Issues,1,India
Singapore,City,Summer,Couple,"Shopping,ThemePark",5574,Short,None,1,Other
Singapore,City,Summer,Solo,"Shopping,ThemePark",18097,Short,None,4,Other
Leh,Mountain,Summer,Couple,"Trekking,Adventure",12000,Long,Asthma,3,India
Leh,Mountain,Summer,Solo,"Trekking,Adventure",4655,Long,None,2,India
Dubai,City,Winter,Solo,"Shopping,Adventure",21316,Long,Asthma,6,Other
Dubai,City,Winter,Couple,"Shopping,Adventure",22148,Long,Heart Issues,5,Other
Ooty,Hill/Beach,Winter,Friends,"Relaxation,Trekking",24606,Long,Heart Issues,6,India
London,City,Winter,Family,"Culture,Sightseeing",4096,Long,Heart Issues,6,Other
Hampi,Historical,Winter,Solo,"Sightseeing,Photography",13979,Short,None,2,India
London,City,Winter,Family,"Culture,Sightseeing",20691,Short,None,1,Other
Dubai,City,Winter,Couple,"Shopping,Adventure",14397,Short,Asthma,1,Other
Singapore,City,Summer,Family,"Shopping,ThemePark",5740,Long,Heart Issues,2,Other
Kerala,Hill/Beach,Monsoon,Friends,"Houseboat,Relaxation",5783,Short,Heart Issues,4,India
London,City,Winter,Friends,"Culture,Sightseeing",6076,Long,Asthma,3,Other
Leh,Mountain,Summer,Couple,"Trekking,Adventure",8013,Short,Heart Issues,2,India
Hampi,Historical,Winter,Solo,"Sightseeing,Photography",9967,Short,Heart Issues,3,India
Ooty,Hill/Beach,Winter,Friends,"Relaxation,Trekking",16218,Short,Heart Issues,1,India
